 Total Nb of available Diagnostics: ndiagt=   274
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
    98 |TOTUTEND| 52 |    99 |UUR     MR|m/s/day         |Tendency of Zonal Component of Velocity
    99 |TOTVTEND| 52 |    98 |VVR     MR|m/s/day         |Tendency of Meridional Component of Velocity
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
------------------------------------------------------------------------------------
   100 |TOTTTEND| 52 |       |SMR     MR|degC/day        |Tendency of Potential Temperature
   101 |TOTSTEND| 52 |       |SMR     MR|psu/day         |Tendency of Salinity
   102 |MoistCor| 52 |       |SM      MR|W/m^2           |Heating correction due to moist thermodynamics
   103 |gT_Forc | 52 |       |SMR     MR|degC/s          |Potential Temp. forcing tendency
   104 |gS_Forc | 52 |       |SMR     MR|psu/s           |Salinity forcing tendency
   105 |AB_gT   | 52 |       |SMR     MR|degC/s          |Potential Temp. tendency from Adams-Bashforth
   106 |AB_gS   | 52 |       |SMR     MR|psu/s           |Salinity tendency from Adams-Bashforth
   107 |gTinAB  | 52 |       |SMR     MR|degC/s          |Potential Temp. tendency going in Adams-Bashforth
   108 |gSinAB  | 52 |       |SMR     MR|psu/s           |Salinity tendency going in Adams-Bashforth
   109 |AB_gU   | 52 |   110 |UUR     MR|m/s^2           |U momentum tendency from Adams-Bashforth
   110 |AB_gV   | 52 |   109 |VVR     MR|m/s^2           |V momentum tendency from Adams-Bashforth
   111 |AB_gW   | 52 |       |WM      LR|m/s^2           |W momentum tendency from Adams-Bashforth
   112 |ADVr_TH | 52 |       |WM      LR|degC.m^3/s      |Vertical   Advective Flux of Pot.Temperature
   113 |ADVx_TH | 52 |   114 |UU      MR|degC.m^3/s      |Zonal      Advective Flux of Pot.Temperature
   114 |ADVy_TH | 52 |   113 |VV      MR|degC.m^3/s      |Meridional Advective Flux of Pot.Temperature
   115 |DFrE_TH | 52 |       |WM      LR|degC.m^3/s      |Vertical Diffusive Flux of Pot.Temperature (Explicit part)
   116 |DFxE_TH | 52 |   117 |UU      MR|degC.m^3/s      |Zonal      Diffusive Flux of Pot.Temperature
   117 |DFyE_TH | 52 |   116 |VV      MR|degC.m^3/s      |Meridional Diffusive Flux of Pot.Temperature
   118 |DFrI_TH | 52 |       |WM      LR|degC.m^3/s      |Vertical Diffusive Flux of Pot.Temperature (Implicit part)
   119 |ADVr_SLT| 52 |       |WM      LR|psu.m^3/s       |Vertical   Advective Flux of Salinity
   120 |ADVx_SLT| 52 |   121 |UU      MR|psu.m^3/s       |Zonal      Advective Flux of Salinity
   121 |ADVy_SLT| 52 |   120 |VV      MR|psu.m^3/s       |Meridional Advective Flux of Salinity
   122 |DFrE_SLT| 52 |       |WM      LR|psu.m^3/s       |Vertical Diffusive Flux of Salinity    (Explicit part)
   123 |DFxE_SLT| 52 |   124 |UU      MR|psu.m^3/s       |Zonal      Diffusive Flux of Salinity
   124 |DFyE_SLT| 52 |   123 |VV      MR|psu.m^3/s       |Meridional Diffusive Flux of Salinity
   125 |DFrI_SLT| 52 |       |WM      LR|psu.m^3/s       |Vertical Diffusive Flux of Salinity    (Implicit part)
   126 |SALTFILL| 52 |       |SM      MR|psu.m^3/s       |Filling of Negative Values of Salinity
   127 |VISCAHZ | 52 |       |SZ      MR|m^2/s           |Harmonic Visc Coefficient (m2/s) (Zeta Pt)
   128 |VISCA4Z | 52 |       |SZ      MR|m^4/s           |Biharmonic Visc Coefficient (m4/s) (Zeta Pt)
   129 |VISCAHD | 52 |       |SM      MR|m^2/s           |Harmonic Viscosity Coefficient (m2/s) (Div Pt)
   130 |VISCA4D | 52 |       |SM      MR|m^4/s           |Biharmonic Viscosity Coefficient (m4/s) (Div Pt)
   131 |VISCAHW | 52 |       |WM      LR|m^2/s           |Harmonic Viscosity Coefficient (m2/s) (W Pt)
   132 |VISCA4W | 52 |       |WM      LR|m^4/s           |Biharmonic Viscosity Coefficient (m4/s) (W Pt)
   133 |VAHZMAX | 52 |       |SZ      MR|m^2/s           |CFL-MAX Harm Visc Coefficient (m2/s) (Zeta Pt)
   134 |VA4ZMAX | 52 |       |SZ      MR|m^4/s           |CFL-MAX Biharm Visc Coefficient (m4/s) (Zeta Pt)
   135 |VAHDMAX | 52 |       |SM      MR|m^2/s           |CFL-MAX Harm Visc Coefficient (m2/s) (Div Pt)
   136 |VA4DMAX | 52 |       |SM      MR|m^4/s           |CFL-MAX Biharm Visc Coefficient (m4/s) (Div Pt)
   137 |VAHZMIN | 52 |       |SZ      MR|m^2/s           |RE-MIN Harm Visc Coefficient (m2/s) (Zeta Pt)
   138 |VA4ZMIN | 52 |       |SZ      MR|m^4/s           |RE-MIN Biharm Visc Coefficient (m4/s) (Zeta Pt)
   139 |VAHDMIN | 52 |       |SM      MR|m^2/s           |RE-MIN Harm Visc Coefficient (m2/s) (Div Pt)
   140 |VA4DMIN | 52 |       |SM      MR|m^4/s           |RE-MIN Biharm Visc Coefficient (m4/s) (Div Pt)
   141 |VAHZLTH | 52 |       |SZ      MR|m^2/s           |Leith Harm Visc Coefficient (m2/s) (Zeta Pt)
   142 |VA4ZLTH | 52 |       |SZ      MR|m^4/s           |Leith Biharm Visc Coefficient (m4/s) (Zeta Pt)
   143 |VAHDLTH | 52 |       |SM      MR|m^2/s           |Leith Harm Visc Coefficient (m2/s) (Div Pt)
   144 |VA4DLTH | 52 |       |SM      MR|m^4/s           |Leith Biharm Visc Coefficient (m4/s) (Div Pt)
   145 |VAHZLTHD| 52 |       |SZ      MR|m^2/s           |LeithD Harm Visc Coefficient (m2/s) (Zeta Pt)
   146 |VA4ZLTHD| 52 |       |SZ      MR|m^4/s           |LeithD Biharm Visc Coefficient (m4/s) (Zeta Pt)
   147 |VAHDLTHD| 52 |       |SM      MR|m^2/s           |LeithD Harm Visc Coefficient (m2/s) (Div Pt)
   148 |VA4DLTHD| 52 |       |SM      MR|m^4/s           |LeithD Biharm Visc Coefficient (m4/s) (Div Pt)
   149 |VAHZSMAG| 52 |       |SZ      MR|m^2/s           |Smagorinsky Harm Visc Coefficient (m2/s) (Zeta Pt)
   150 |VA4ZSMAG| 52 |       |SZ      MR|m^4/s           |Smagorinsky Biharm Visc Coeff. (m4/s) (Zeta Pt)
   151 |VAHDSMAG| 52 |       |SM      MR|m^2/s           |Smagorinsky Harm Visc Coefficient (m2/s) (Div Pt)
   152 |VA4DSMAG| 52 |       |SM      MR|m^4/s           |Smagorinsky Biharm Visc Coeff. (m4/s) (Div Pt)
   153 |momKE   | 52 |       |SMR     MR|m^2/s^2         |Kinetic Energy (in momentum Eq.)
   154 |momHDiv | 52 |       |SMR     MR|s^-1            |Horizontal Divergence (in momentum Eq.)
   155 |momVort3| 52 |       |SZR     MR|s^-1            |3rd component (vertical) of Vorticity
   156 |Strain  | 52 |       |SZR     MR|s^-1            |Horizontal Strain of Horizontal Velocities
   157 |Tension | 52 |       |SMR     MR|s^-1            |Horizontal Tension of Horizontal Velocities
   158 |UBotDrag| 52 |   159 |UUR     MR|m/s^2           |U momentum tendency from Bottom Drag
   159 |VBotDrag| 52 |   158 |VVR     MR|m/s^2           |V momentum tendency from Bottom Drag
   160 |USidDrag| 52 |   161 |UUR     MR|m/s^2           |U momentum tendency from Side Drag
   161 |VSidDrag| 52 |   160 |VVR     MR|m/s^2           |V momentum tendency from Side Drag
   162 |Um_Diss | 52 |   163 |UUR     MR|m/s^2           |U momentum tendency from Dissipation
   163 |Vm_Diss | 52 |   162 |VVR     MR|m/s^2           |V momentum tendency from Dissipation
   164 |Um_Advec| 52 |   165 |UUR     MR|m/s^2           |U momentum tendency from Advection terms
   165 |Vm_Advec| 52 |   164 |VVR     MR|m/s^2           |V momentum tendency from Advection terms
   166 |Um_Cori | 52 |   167 |UUR     MR|m/s^2           |U momentum tendency from Coriolis term
   167 |Vm_Cori | 52 |   166 |VVR     MR|m/s^2           |V momentum tendency from Coriolis term
   168 |Um_dPHdx| 52 |   169 |UUR     MR|m/s^2           |U momentum tendency from Hydrostatic Pressure grad
   169 |Vm_dPHdy| 52 |   168 |VVR     MR|m/s^2           |V momentum tendency from Hydrostatic Pressure grad
   170 |Um_Ext  | 52 |   171 |UUR     MR|m/s^2           |U momentum tendency from external forcing
   171 |Vm_Ext  | 52 |   170 |VVR     MR|m/s^2           |V momentum tendency from external forcing
   172 |Um_AdvZ3| 52 |   173 |UUR     MR|m/s^2           |U momentum tendency from Vorticity Advection
   173 |Vm_AdvZ3| 52 |   172 |VVR     MR|m/s^2           |V momentum tendency from Vorticity Advection
   174 |Um_AdvRe| 52 |   175 |UUR     MR|m/s^2           |U momentum tendency from vertical Advection (Explicit part)
   175 |Vm_AdvRe| 52 |   174 |VVR     MR|m/s^2           |V momentum tendency from vertical Advection (Explicit part)
   176 |Wm_Diss | 52 |       |WMr     LR|m/s^2           |W momentum tendency from Dissipation
   177 |Wm_Advec| 52 |       |WMr     LR|m/s^2           |W momentum tendency from Advection terms
   178 |WSidDrag| 52 |       |WMr     LR|m/s^2           |Vertical momentum tendency from Side Drag
   179 |ADVx_Um | 52 |   180 |UM      MR|m^4/s^2         |Zonal      Advective Flux of U momentum
   180 |ADVy_Um | 52 |   179 |VZ      MR|m^4/s^2         |Meridional Advective Flux of U momentum
   181 |ADVrE_Um| 52 |       |WU      LR|m^4/s^2         |Vertical   Advective Flux of U momentum (Explicit part)
   182 |ADVx_Vm | 52 |   183 |UZ      MR|m^4/s^2         |Zonal      Advective Flux of V momentum
   183 |ADVy_Vm | 52 |   182 |VM      MR|m^4/s^2         |Meridional Advective Flux of V momentum
   184 |ADVrE_Vm| 52 |       |WV      LR|m^4/s^2         |Vertical   Advective Flux of V momentum (Explicit part)
   185 |VISCx_Um| 52 |   186 |UM      MR|m^4/s^2         |Zonal      Viscous Flux of U momentum
   186 |VISCy_Um| 52 |   185 |VZ      MR|m^4/s^2         |Meridional Viscous Flux of U momentum
   187 |VISrE_Um| 52 |       |WU      LR|m^4/s^2         |Vertical   Viscous Flux of U momentum (Explicit part)
   188 |VISrI_Um| 52 |       |WU      LR|m^4/s^2         |Vertical   Viscous Flux of U momentum (Implicit part)
   189 |VISCx_Vm| 52 |   190 |UZ      MR|m^4/s^2         |Zonal      Viscous Flux of V momentum
   190 |VISCy_Vm| 52 |   189 |VM      MR|m^4/s^2         |Meridional Viscous Flux of V momentum
   191 |VISrE_Vm| 52 |       |WV      LR|m^4/s^2         |Vertical   Viscous Flux of V momentum (Explicit part)
   192 |VISrI_Vm| 52 |       |WV      LR|m^4/s^2         |Vertical   Viscous Flux of V momentum (Implicit part)
